# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
LEA,842162,2017-01-01,
LECO,59527,2017-01-01,
LEG,58492,2017-01-01,
LEN,920760,2017-01-01,
LFUS,889331,2017-01-01,
LGND,886163,2017-01-01,
LH,920148,2017-01-01,
LHX,202058,2019-07-01,
LII,1069202,2017-01-01,
LIN,1707925,2017-01-01,
LITE,1633978,2017-01-01,
LIVN,1639691,2017-01-01,
LKQ,1065696,2017-01-01,
LLY,59478,2017-01-01,
LMT,936468,2017-01-01,
LNC,59558,2017-01-01,
LNT,352541,2017-01-01,
LNTH,1521036,2017-01-01,
LOPE,1434588,2017-01-01,
LOW,60667,2017-01-01,
LPX,60519,2017-01-01,
LRCX,707549,2017-01-01,
LSCC,855658,2017-01-01,
LSTR,853816,2017-01-01,
LULU,1397187,2017-01-01,
LUMN,18926,2017-01-01,
LUV,92380,2017-01-01,
LVS,1300514,2017-01-01,
LW,1679273,2017-01-01,
LYB,1489393,2017-01-01,
LYV,1335258,2017-01-01,
M,794367,2017-01-01,
MA,1141391,2017-01-01,
MAA,912595,2017-01-01,
MAC,912242,2017-01-01,
MAN,871763,2017-01-01,
MANH,1056696,2017-01-01,
MAR,1048286,2017-01-01,
MAS,62996,2017-01-01,
MAT,63276,2017-01-01,
MCD,63908,2017-01-01,
MCHP,827054,2017-01-01,
MCK,927653,2017-01-01,
MCO,1059556,2017-01-01,
MCY,64996,2017-01-01,
MD,893949,2017-01-01,
MDB,1441816,2017-01-01,
MDLZ,1103982,2017-01-01,
MDT,1613103,2017-01-01,
MDU,67716,2017-01-01,
MEDP,1668397,2017-01-01,
MELI,1099590,2017-01-01,
MET,1099219,2017-01-01,
META,1326801,2022-06-09,
MGM,789570,2017-01-01,
MHK,851968,2017-01-01,
MIDD,769520,2017-01-01,
MKC,63754,2017-01-01,
MKSI,1049502,2017-01-01,
MKTX,1278021,2017-01-01,
MLI,89439,2017-01-01,
MLKN,66382,2017-01-01,
MLM,916076,2017-01-01,
MMM,66740,2017-01-01,
MMS,1032220,2017-01-01,
MNST,865752,2017-01-01,
MO,764180,2017-01-01,
MOG-A,67887,2017-01-01,
MOH,1179929,2017-01-01,
MORN,1289419,2017-01-01,
MOS,1285785,2017-01-01,
MP,1801368,2017-01-01,
MPC,1510295,2017-01-01,
MPWR,1280452,2017-01-01,
MRCY,1049521,2017-01-01,
MRK,310158,2017-01-01,
MRNA,1682852,2017-01-01,
MRSH,62709,2017-01-01,
MRVL,1835632,2017-01-01,
MS,895421,2017-01-01,
MSA,66570,2017-01-01,
MSCI,1408198,2017-01-01,
MSFT,789019,2017-01-01,
MSI,68505,2017-01-01,
MSM,1003078,2017-01-01,
MSTR,1050446,2017-01-01,
MTB,36270,2017-01-01,
MTCH,891103,2017-01-01,
MTD,1037646,2017-01-01,
MTDR,1520006,2017-01-01,
MTG,876437,2017-01-01,
MTN,812011,2017-01-01,
MTSI,1493594,2017-01-01,
MTX,891014,2017-01-01,
MTZ,15615,2017-01-01,
MU,723125,2017-01-01,
MUR,717423,2017-01-01,
MUSA,1573516,2017-01-01,
MYL,1792044,2017-01-01,2020-11-16
MZTI,57515,2017-01-01,
NAVI,1593538,2017-01-01,
NBIS,1513845,2017-01-01,
NBIX,914475,2017-01-01,
NCLH,1513761,2017-01-01,
NDAQ,1120193,2017-01-01,
NDSN,72331,2017-01-01,
NEE,753308,2017-01-01,
NEM,1164727,2017-01-01,
NEOG,711377,2017-01-01,
NEU,1282637,2017-01-01,
NFG,70145,2017-01-01,
NFLX,1065280,2017-01-01,
NGVT,1653477,2017-01-01,
NI,1111711,2017-01-01,
NJR,356309,2017-01-01,
NKE,320187,2017-01-01,
NKTR,906709,2017-01-01,
NLY,1043219,2017-01-01,
NNN,751364,2017-01-01,
NOC,1133421,2017-01-01,
NOV,1021860,2017-01-01,
NOVT,1076930,2017-01-01,
NOW,1373715,2017-01-01,
NRG,1013871,2017-01-01,
NSA,1618563,2017-01-01,
NSC,702165,2017-01-01,
NSP,1000753,2017-01-01,
NTAP,1002047,2017-01-01,
NTCT,1078075,2017-01-01,
NTES,1110646,2017-01-01,
NTNX,1618732,2017-01-01,
NTRS,73124,2017-01-01,
NUE,73309,2017-01-01,
NUS,1021561,2017-01-01,
NVDA,1045810,2017-01-01,
NVR,906163,2017-01-01,
NVST,1757073,2017-01-01,
NVT,1720635,2017-01-01,
NWE,1993004,2017-01-01,
NWL,814453,2017-01-01,
NWS,1564708,2017-01-01,
NWSA,1564708,2017-01-01,
NXPI,1413447,2017-01-01,
NXST,1142417,2017-01-01,
NXT,1852131,2017-01-01,
NYT,71691,2017-01-01,
O,726728,2017-01-01,
OC,1370946,2017-01-01,
ODFL,878927,2017-01-01,
OGE,1021635,2017-01-01,
OGN,1821825,2017-01-01,
OGS,1587732,2017-01-01,
OHI,888491,2017-01-01,
OI,812074,2017-01-01,
OII,73756,2017-01-01,
OKE,1039684,2017-01-01,
OKTA,1660134,2017-01-01,
OLED,1005284,2017-01-01,
OLLI,1639300,2017-01-01,
OLN,74303,2017-01-01,
OMC,29989,2017-01-01,
OMCL,926326,2017-01-01,
ON,1097864,2017-01-01,
ONB,707179,2017-01-01,
ONTO,704532,2017-01-01,
OPCH,1014739,2017-01-01,
ORA,1296445,2017-01-01,
ORCL,1341439,2017-01-01,
ORI,74260,2017-01-01,
ORLY,898173,2017-01-01,
OSK,775158,2017-01-01,
OTIS,1781335,2017-01-01,
OVV,1792580,2017-01-01,
OXY,797468,2017-01-01,
OZK,1569650,2017-01-01,
P,1474432,2017-01-01,
PAG,1019849,2017-01-01,
PANW,1327567,2017-01-01,
PATH,1734722,2017-01-01,
PAYC,1590955,2017-01-01,
PAYX,723531,2017-01-01,
PB,1068851,2017-01-01,
PBF,1534504,2017-01-01,
PBH,1295947,2017-01-01,
PBI,78814,2017-01-01,
PCAR,75362,2017-01-01,
PCG,1004980,2017-01-01,
PCTY,1591698,2017-01-01,
PDD,1737806,2017-01-01,
PEAK,765880,2019-11-05,2024-03-04
PEB,1474098,2017-01-01,
PEG,788784,2017-01-01,
PEGA,1013857,2017-01-01,
PEN,1321732,2017-01-01,
PENN,921738,2017-01-01,
PEP,77476,2017-01-01,
PFE,78003,2017-01-01,
PFG,1126328,2017-01-01,
PFGC,1618673,2017-01-01,
PG,80424,2017-01-01,
PGNY,1551306,2017-01-01,
PGR,80661,2017-01-01,
PH,76334,2017-01-01,
PHM,822416,2017-01-01,
PII,931015,2017-01-01,
PINS,1506293,2017-01-01,
PK,1617406,2017-01-01,
PKG,75677,2017-01-01,
PKI,31791,2017-01-01,2023-05-16
PLD,1045609,2017-01-01,
PLNT,1637207,2017-01-01,
PLTR,1321655,2017-01-01,
PM,1413329,2017-01-01,
PNC,713676,2017-01-01,
PNFP,2082866,2017-01-01,
PNR,77360,2017-01-01,
PNW,764622,2017-01-01,
PODD,1145197,2017-01-01,
POOL,945841,2017-01-01,
POR,784977,2017-01-01,
POST,1530950,2017-01-01,
POWI,833640,2017-01-01,
PPC,802481,2017-01-01,
PPG,79879,2017-01-01,
PPL,922224,2017-01-01,
PR,1658566,2017-01-01,
PRG,1808834,2017-01-01,
PRGO,1585364,2017-01-01,
PRI,1475922,2017-01-01,
PRU,1137774,2017-01-01,
PSA,1393311,2017-01-01,
PSKY,2041610,2017-01-01,
PSN,275880,2017-01-01,
PSX,1534701,2017-01-01,
PTC,857005,2017-01-01,
PTEN,889900,2017-01-01,
PTON,1639825,2017-01-01,
PVH,78239,2017-01-01,
PWR,1050915,2017-01-01,
PYPL,1633917,2017-01-01,
PZZA,901491,2017-01-01,
Q,2058873,2017-01-01,
QCOM,804328,2017-01-01,
QDEL,1906324,2017-01-01,
